182405094988422,BUSITJ755094,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405121730028,AMIGL240073132A,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405116736480,GZHITJ755449,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405096330904,XNBLU24000420,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405117548776,GDM24030036,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405117746325,HAM24030096,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405116908019,GZHNVT755021,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405097421175,GSSWOPY12464E,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405097420284,GSSWOPY12464D,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405122137749,DEHAMSEHAM2400885,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405104925932,SHYY24030616,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405117746678,HAM24030106,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405118994176,SRGNVT2403042,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405101710102,NBNAV24006543,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405119240809,MEDUK2796697,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405096519791,GSSWOPY13131A,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405117510108,GDM24020140,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405094834620,BUSITJ755093,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
182405118950470,98014000195,Carga regular,MARITIMA,Canal Vermelho,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
172405116421082,MEDUGW278766,Carga regular,MARITIMA,Canal Verde,Aguardando desembaraço da mercadoria,Deferida,24/05/2024 13:38
